method,arm,n_targets,ties_skipped,pct_math_gt_words_All,pct_Algebra,pct_Calculus and Analysis,pct_Combinatorics,pct_Geometry,pct_Number Theory,mean_pr_full,mean_pr_math,mean_pr_text
infly/inf-retriever-v1-pro,p2,969,1,59.61,88.44,96.67,38.46,31.31,54.84,0.9008,0.8659,0.8563
infly/inf-retriever-v1-pro,p3,969,1,56.92,85.71,95.56,38.66,32.32,45.78,0.9041,0.8626,0.857
microsoft/harrier-oss-v1-0.6b,p0,969,0,58.0,89.12,95.56,38.97,35.35,45.38,0.6718,0.604,0.5692
microsoft/harrier-oss-v1-0.6b,p1,969,0,57.28,88.44,93.33,38.46,33.84,46.18,0.6405,0.6006,0.5755
microsoft/harrier-oss-v1-0.6b,p2,969,0,57.48,89.12,92.78,40.0,33.33,46.18,0.6261,0.5803,0.5577
microsoft/harrier-oss-v1-0.6b,p3,969,0,57.79,89.12,92.78,39.49,36.36,45.38,0.6198,0.5798,0.5507
tencent/KaLM-Embedding-Gemma3-12B-2511,p0,969,0,57.79,87.07,95.0,40.51,31.31,48.19,0.6292,0.559,0.5314
tencent/KaLM-Embedding-Gemma3-12B-2511,p1,969,0,52.43,82.99,89.44,37.44,28.28,38.55,0.5798,0.5042,0.5063
tencent/KaLM-Embedding-Gemma3-12B-2511,p2,969,0,53.66,85.71,91.67,36.92,27.78,40.96,0.5702,0.5096,0.5027
tencent/KaLM-Embedding-Gemma3-12B-2511,p3,969,0,56.35,86.39,91.67,38.46,29.8,48.19,0.5936,0.5274,0.506
Qwen/Qwen3-Embedding-4B,p0,969,0,56.86,84.35,96.11,35.9,36.36,44.98,0.632,0.5374,0.5023
Qwen/Qwen3-Embedding-4B,p1,969,0,56.76,83.67,95.56,37.44,32.83,46.99,0.6439,0.5555,0.5313
Qwen/Qwen3-Embedding-4B,p2,969,0,52.01,78.91,93.33,34.87,28.28,38.55,0.589,0.4961,0.4946
Qwen/Qwen3-Embedding-4B,p3,969,0,52.53,82.31,93.33,36.41,28.79,36.95,0.6096,0.5084,0.4912
microsoft/harrier-oss-v1-270m,p0,969,0,56.86,85.71,96.11,38.46,36.36,42.17,0.6138,0.5443,0.5119
microsoft/harrier-oss-v1-270m,p1,969,0,54.18,82.99,92.22,38.46,31.82,39.76,0.581,0.5293,0.5163
microsoft/harrier-oss-v1-270m,p2,969,0,50.57,76.19,90.0,34.87,28.79,36.55,0.5648,0.5069,0.5014
microsoft/harrier-oss-v1-270m,p3,969,0,52.94,80.95,92.22,38.46,29.8,37.75,0.5617,0.5017,0.4878
jinaai/jina-embeddings-v5-text-nano,p0,969,0,56.35,87.07,94.44,40.0,27.27,46.59,0.5996,0.5021,0.4509
jinaai/jina-embeddings-v5-text-nano,p1,969,0,53.35,85.71,95.0,36.41,23.74,40.96,0.5967,0.4722,0.4455
jinaai/jina-embeddings-v5-text-nano,p2,969,0,52.43,85.71,95.0,37.95,22.73,36.95,0.5885,0.4691,0.4462
jinaai/jina-embeddings-v5-text-nano,p3,969,0,54.9,85.03,96.11,38.46,23.74,44.98,0.5958,0.4791,0.4142
jinaai/jina-embeddings-v5-text-small,p0,969,0,56.04,86.39,94.44,38.97,28.28,45.78,0.6222,0.507,0.4638
jinaai/jina-embeddings-v5-text-small,p1,969,0,55.31,87.76,94.44,37.44,27.27,44.18,0.6182,0.5076,0.4754
jinaai/jina-embeddings-v5-text-small,p2,969,0,54.7,88.44,93.89,37.44,26.77,42.17,0.6086,0.4957,0.4649
jinaai/jina-embeddings-v5-text-small,p3,969,0,57.38,88.44,94.44,38.97,29.29,49.0,0.6181,0.4991,0.4386
Octen/Octen-Embedding-8B,p0,969,0,54.9,79.59,91.11,37.44,28.28,49.0,0.565,0.4805,0.4632
Octen/Octen-Embedding-8B,p1,969,0,54.9,80.95,90.0,37.95,27.27,49.4,0.5832,0.5029,0.4961
Octen/Octen-Embedding-8B,p2,969,0,53.66,78.91,88.89,36.41,27.78,47.39,0.5711,0.491,0.4921
Octen/Octen-Embedding-8B,p3,969,0,54.49,78.91,89.44,37.95,28.28,48.59,0.5719,0.486,0.4728
microsoft/harrier-oss-v1-27b,p0,969,0,54.7,87.07,96.11,37.95,29.8,38.55,0.7618,0.6661,0.6647
microsoft/harrier-oss-v1-27b,p1,969,0,56.86,83.67,96.67,37.95,33.84,45.38,0.7236,0.6755,0.672
microsoft/harrier-oss-v1-27b,p2,969,0,59.24,87.07,96.11,36.41,33.84,54.22,0.6867,0.6369,0.6245
microsoft/harrier-oss-v1-27b,p3,969,0,55.62,83.67,95.56,37.44,30.3,44.58,0.699,0.6432,0.6322
Raderspace/RaDeR_Qwen25-7B_NuminaMath_MATH_allquerytypes,p0,969,0,54.7,78.91,87.78,45.64,27.27,45.38,0.7744,0.7367,0.7339
Raderspace/RaDeR_Qwen25-7B_NuminaMath_MATH_allquerytypes,p1,969,0,49.54,73.47,90.56,40.51,23.23,33.73,0.7632,0.7198,0.7255
Raderspace/RaDeR_Qwen25-7B_NuminaMath_MATH_allquerytypes,p2,969,0,52.43,75.51,92.78,42.05,22.73,41.37,0.7658,0.72,0.7169
Raderspace/RaDeR_Qwen25-7B_NuminaMath_MATH_allquerytypes,p3,969,0,53.87,80.95,93.89,42.56,24.75,40.96,0.7671,0.7124,0.7068
jaccard,p0,969,0,54.7,85.71,97.78,36.92,25.25,42.57,0.1939,0.1217,0.0929
Raderspace/RaDeR_Qwen25-14B_NuminaMath_MATH_allquerytypes,p0,969,0,54.59,78.23,90.0,41.54,28.28,46.18,0.7246,0.6855,0.6802
Raderspace/RaDeR_Qwen25-14B_NuminaMath_MATH_allquerytypes,p1,969,0,55.11,79.59,94.44,40.0,26.26,46.99,0.6904,0.6443,0.6406
